Treatment;Replicate;Fraction1;Fraction2
0D6W;1;0.927536231884058;0.072463768115942
0D6W;2;0.94888178913738;0.0511182108626198
0D6W;3;0.936802973977695;0.0631970260223048
0D6W;4;0.92604501607717;0.0739549839228296
0D6W;5;0.929629629629629;0.0703703703703704
0D6W;6;0.958041958041958;0.041958041958042
0D6W;7;0.826086956521739;0.173913043478261
0D6W;8;0.977443609022556;0.0225563909774436
0D6W;9;0.941780821917808;0.0582191780821918
0D6W;10;0.72962962962963;0.27037037037037
1D5W;1;0.864640883977901;0.135359116022099
1D5W;2;0.445414847161572;0.554585152838428
1D5W;3;0.891891891891892;0.108108108108108
1D5W;4;0.858108108108108;0.141891891891892
1D5W;5;0.935153583617747;0.0648464163822526
1D5W;6;0.66551724137931;0.33448275862069
1D5W;7;0.745689655172414;0.254310344827586
1D5W;8;0.666666666666667;0.333333333333333
1D5W;9;0.796666666666667;0.203333333333333
1D5W;10;0.725552050473186;0.274447949526814
2D4W;1;0.930795847750865;0.069204152249135
2D4W;2;0.858552631578947;0.141447368421053
2D4W;3;0.909348441926346;0.0906515580736544
2D4W;4;0.8125;0.1875
2D4W;5;0.872549019607843;0.127450980392157
2D4W;6;0.846875;0.153125
2D4W;7;0.822950819672131;0.177049180327869
2D4W;8;0.893416927899687;0.106583072100313
2D4W;9;0.92156862745098;0.0784313725490196
2D4W;10;0.940652818991098;0.0593471810089021
3D3W;1;0.615384615384615;0.384615384615385
3D3W;2;0.457236842105263;0.542763157894737
3D3W;3;0.76536312849162;0.23463687150838
3D3W;4;0.154285714285714;0.845714285714286
3D3W;5;0.509433962264151;0.490566037735849
3D3W;6;0.545454545454545;0.454545454545455
3D3W;7;0.516014234875445;0.483985765124555
3D3W;8;0.69375;0.30625
3D3W;9;0.593567251461988;0.406432748538012
3D3W;10;0.468992248062016;0.531007751937985
4D2W;1;0.518072289156627;0.481927710843374
4D2W;2;0.648208469055375;0.351791530944625
4D2W;3;0.63719512195122;0.36280487804878
4D2W;4;0.317757009345794;0.682242990654206
4D2W;5;0.424242424242424;0.575757575757576
4D2W;6;0.510574018126888;0.489425981873112
4D2W;7;0.583090379008746;0.416909620991254
4D2W;8;0.545454545454545;0.454545454545455
4D2W;9;0.603333333333333;0.396666666666667
4D2W;10;0.455974842767296;0.544025157232704
5D1W;1;0.0372881355932203;0.96271186440678
5D1W;2;0.277456647398844;0.722543352601156
5D1W;3;0.703703703703704;0.296296296296296
5D1W;4;0;1
5D1W;5;0.143292682926829;0.856707317073171
5D1W;6;0.418918918918919;0.581081081081081
5D1W;7;0.164179104477612;0.835820895522388
5D1W;8;0.690265486725664;0.309734513274336
5D1W;9;0.563333333333333;0.436666666666667
5D1W;10;0.632768361581921;0.367231638418079
6D0W;1;0.654450261780105;0.345549738219895
6D0W;2;0.674157303370786;0.325842696629213
6D0W;3;0.705555555555556;0.294444444444444
6D0W;4;0.82640586797066;0.17359413202934
6D0W;5;0.80672268907563;0.19327731092437
6D0W;6;0.680519480519481;0.319480519480519
6D0W;7;0.858247422680412;0.141752577319588
6D0W;8;0.691428571428571;0.308571428571429
6D0W;9;0.739690721649485;0.260309278350515
6D0W;10;0.721518987341772;0.278481012658228
C-UV;1;0.870848708487085;0.129151291512915
C-UV;2;0.880645161290323;0.119354838709677
C-UV;3;0.887139107611548;0.112860892388451
C-UV;4;0.861963190184049;0.138036809815951
C-UV;5;0.888040712468193;0.111959287531807
C-UV;6;0.912466843501326;0.0875331564986737
C-UV;7;0.880733944954128;0.119266055045872
C-UV;8;0.898218829516539;0.101781170483461
C-UV;9;0.869158878504673;0.130841121495327
C-UV;10;0.893150684931507;0.106849315068493
C-W;1;0.915531335149864;0.0844686648501362
C-W;2;0.916129032258064;0.0838709677419355
C-W;3;0.921630094043887;0.0783699059561129
C-W;4;0.924198250728863;0.075801749271137
C-W;5;0.921212121212121;0.0787878787878788
C-W;6;0.914373088685015;0.0856269113149847
C-W;7;0.765625;0.234375
C-W;8;0.922043010752688;0.0779569892473118
C-W;9;0.900269541778976;0.0997304582210243
C-W;10;0.92;0.08
