Treatment;Replicate;Size
0D6W;1;296.818181818182
0D6W;2;221.166666666667
0D6W;3;193
0D6W;4;200.441176470588
0D6W;5;256.540540540541
0D6W;6;159.45
0D6W;7;221.159090909091
0D6W;8;200.438596491228
0D6W;9;294.642857142857
0D6W;10;233.111111111111
1D5W;1;285
1D5W;2;517.56862745098
1D5W;3;320.894736842105
1D5W;4;283.853658536585
1D5W;5;227.354838709677
1D5W;6;474.358974358974
1D5W;7;391.415384615385
1D5W;8;427.8
1D5W;9;334.386363636364
1D5W;10;336.888888888889
2D4W;1;366.615384615385
2D4W;2;204
2D4W;3;281.964285714286
2D4W;4;311.769230769231
2D4W;5;258.162162162162
2D4W;6;311.8
2D4W;7;336.032258064516
2D4W;8;308.093023255814
2D4W;9;264.705882352941
2D4W;10;245.19512195122
3D3W;1;418.357142857143
3D3W;2;471.519230769231
3D3W;3;183.714285714286
3D3W;4;486.266666666667
3D3W;5;483.866666666667
3D3W;6;407.407407407407
3D3W;7;440.346153846154
3D3W;8;355.8
3D3W;9;442.2
3D3W;10;528.379310344828
4D2W;1;393.11320754717
4D2W;2;438.083333333333
4D2W;3;354.294117647059
4D2W;4;486.183098591549
4D2W;5;436.666666666667
4D2W;6;448.565217391304
4D2W;7;375.206896551724
4D2W;8;424.367346938775
4D2W;9;341
4D2W;10;483.3125
5D1W;1;533.526315789474
5D1W;2;511.243243243243
5D1W;3;317.051282051282
5D1W;4;540.022857142857
5D1W;5;570.172413793103
5D1W;6;485.6
5D1W;7;481.088235294118
5D1W;8;356.290909090909
5D1W;9;350.09756097561
5D1W;10;282.7
6D0W;1;295.16
6D0W;2;274.923076923077
6D0W;3;273.714285714286
6D0W;4;192.186046511628
6D0W;5;264.370967741935
6D0W;6;281.78313253012
6D0W;7;209.574074074074
6D0W;8;229.384615384615
6D0W;9;288.84126984127
6D0W;10;267.940298507463
C-UV;1;94.875
C-UV;2;143.2
C-UV;3;141.647058823529
C-UV;4;150.4
C-UV;5;132.416666666667
C-UV;6;112.947368421053
C-UV;7;205.8
C-UV;8;110.6
C-UV;9;163.8
C-UV;10;149.875
C-W;1;224.111111111111
C-W;2;83.7692307692308
C-W;3;103.923076923077
C-W;4;159.777777777778
C-W;5;106.583333333333
C-W;6;130.4375
C-W;7;144.5
C-W;8;98.1764705882353
C-W;9;109.428571428571
C-W;10;127
