period;model;IBPFI
1991-2020;GFDL-ESM4;442.6343552
1991-2020;IPSL-CM6A-LR ;443.0678536
1991-2020;MPI-ESM1-2-HR;442.0118817
1991-2020;MRI-ESM2-0;443.2751474
1991-2020;UKESM1-0-LL;442.2736121
1991-2020;ERA5-land;444.4911666
2071-2100 SSP3-7.0;GFDL-ESM4;439.3227782
2071-2100 SSP3-7.0;IPSL-CM6A-LR ;433.4689904
2071-2100 SSP3-7.0;MPI-ESM1-2-HR;435.0078164
2071-2100 SSP3-7.0;MRI-ESM2-0;437.1113022
2071-2100 SSP3-7.0;UKESM1-0-LL;422.330553
2071-2100 SSP5-8.5;GFDL-ESM4;438.2703391
2071-2100 SSP5-8.5;IPSL-CM6A-LR ;424.148202
2071-2100 SSP5-8.5;MPI-ESM1-2-HR;431.8622822
2071-2100 SSP5-8.5;MRI-ESM2-0;432.1315042
2071-2100 SSP5-8.5;UKESM1-0-LL;417.2315118
