Treatment;Replicate;MPs;MPs3;Size
1W;1;9;27;168.444444444444
1W;2;8;24;164
1W;3;9;27;174.777777777778
1W;4;6;18;209.666666666667
1W;5;10;30;94.2
1W;6;4;12;180.5
1W;7;13;39;108.846153846154
1W;8;10;30;162.5
1W;9;4;12;95.25
1W;10;21;63;221.761904761905
2W;1;11;33;190.818181818182
2W;2;10;30;179
2W;3;19;57;139.947368421053
2W;4;26;78;199.538461538462
2W;5;13;39;140.230769230769
2W;6;16;48;169.625
2W;7;8;24;221.375
2W;8;13;39;161.923076923077
2W;9;9;27;131.222222222222
2W;10;2;6;236
3W;1;23;69;169.04347826087
3W;2;12;36;138.833333333333
3W;3;31;93;133.225806451613
3W;4;31;93;132.354838709677
3W;6;33;99;182.151515151515
3W;7;34;102;134.588235294118
3W;8;31;93;138.225806451613
3W;9;22;66;153.454545454545
3W;10;18;54;161.222222222222
4W;1;34;102;131.882352941176
4W;2;25;75;139.36
4W;3;43;129;117.581395348837
4W;4;29;87;142.758620689655
4W;5;17;51;148.352941176471
4W;6;23;69;136.869565217391
4W;7;18;54;106.388888888889
4W;8;19;57;145.736842105263
4W;9;15;45;124.4
4W;10;22;66;119.909090909091
5W;1;32;96;146.84375
5W;3;26;78;154.692307692308
5W;4;32;96;157.34375
5W;5;23;69;105.304347826087
5W;6;33;99;113.272727272727
5W;7;19;57;100.263157894737
5W;9;24;72;174.416666666667
5W;10;26;78;142.961538461538
6W;1;34;102;195.058823529412
6W;2;37;111;118.540540540541
6W;3;25;75;186.92
6W;4;23;69;142.434782608696
6W;5;27;81;178.962962962963
6W;6;31;93;141.709677419355
6W;7;29;87;119.758620689655
6W;8;31;93;151.354838709677
6W;10;17;51;168.352941176471
7W;1;59;177;147.949152542373
7W;2;68;204;159.088235294118
7W;3;40;120;135.75
7W;4;46;138;121.673913043478
7W;5;58;174;211.103448275862
7W;7;13;39;147.461538461538
7W;8;37;111;121.432432432432
7W;9;38;114;170.421052631579
7W;10;21;63;183.619047619048
8W;1;51;153;153.607843137255
8W;2;33;99;120.060606060606
8W;4;5;15;156
8W;5;32;96;210.21875
8W;6;61;183;135.016393442623
8W;7;56;168;121.107142857143
8W;8;46;138;173.826086956522
8W;9;51;153;154.647058823529
8W;10;75;225;144.466666666667
9W;1;40;120;195.875
9W;2;36;108;164.805555555556
9W;3;64;192;176.15625
9W;4;50;150;149.2
9W;5;48;144;187.770833333333
9W;6;29;87;179.379310344828
9W;7;30;90;136.5
9W;8;36;108;146.611111111111
9W;9;63;189;206.793650793651
9W;10;52;156;209.653846153846
10W;1;51;153;198.941176470588
10W;2;57;171;134.701754385965
10W;3;46;138;180.45652173913
10W;4;45;135;134.644444444444
10W;5;58;174;133.948275862069
10W;6;61;183;181.606557377049
10W;7;52;156;186.442307692308
10W;8;59;177;149.067796610169
10W;9;58;174;200.724137931034
10W;10;86;258;147
11W;1;56;168;165.892857142857
11W;2;49;147;196.795918367347
11W;3;46;138;204.260869565217
11W;4;33;99;168.818181818182
11W;5;50;150;196.12
11W;6;87;261;235.068965517241
11W;7;46;138;202.239130434783
11W;8;33;99;164.151515151515
11W;9;66;198;241.681818181818
11W;10;62;186;185.338709677419
12W;1;25;75;301.08
12W;2;57;171;273.368421052632
12W;3;29;87;311.068965517241
12W;4;39;117;179.179487179487
12W;5;55;165;196.654545454545
12W;6;51;153;240.490196078431
12W;7;52;156;186.5
12W;8;54;162;242.814814814815
12W;9;62;186;235.193548387097
12W;10;55;165;305.6
6D0W;1;50;150;295.16
6D0W;2;65;195;274.923076923077
6D0W;3;84;252;273.714285714286
6D0W;4;43;129;192.186046511628
6D0W;5;62;186;264.370967741935
6D0W;6;83;249;281.78313253012
6D0W;7;54;162;209.574074074074
6D0W;8;52;156;229.384615384615
6D0W;9;63;189;288.84126984127
6D0W;10;67;201;267.940298507463
C-UV;1;8;24;94.875
C-UV;2;10;30;143.2
C-UV;3;17;51;141.647058823529
C-UV;4;15;45;150.4
C-UV;5;12;36;132.416666666667
C-UV;6;19;57;112.947368421053
C-UV;7;15;45;205.8
C-UV;8;5;15;110.6
C-UV;9;10;30;163.8
C-UV;10;8;24;149.875
